chr	start	stop	pos	iteration
16	52761202	52761923	52761238	1
7	39123722	39124323	39124109	1
13	72333403	72335058	72334519	1
5	124652707	124653852	124653722	1
18	42323212	42325093	42324144	1
11	13461336	13462057	13461534	1
10	98755134	98755787	98755184	1
14	94441545	94442146	94441549	1
6	98382957	98383558	98383422	1
11	75758012	75759960	75759680	1
3	114304588	114305309	114304862	1
11	72108990	72109711	72109034	1
13	71794737	71794858	71794751	1
9	102540959	102541560	102541227	1
3	181326916	181327397	181327263	1
12	106883882	106884363	106884131	1
1	87802289	87802650	87802433	1
5	50391257	50391738	50391285	1
15	36952260	36952621	36952569	1
X	76705543	76706144	76705878	1
19	30645117	30645718	30645252	1
14	37504668	37505509	37504988	1
2	66716644	66717605	66717393	1
8	65182345	65183306	65182987	1
4	80917845	80918446	80918275	1
1	82402406	82402526	82402494	1
17	54522888	54523550	54522930	1
9	126370284	126370765	126370366	1
9	89651186	89651667	89651619	1
2	146057568	146058289	146058216	1
X	119492556	119492917	119492760	1
5	91828559	91829040	91829002	1
2	219261649	219262130	219261971	1
6	164571758	164572359	164572196	1
14	69015220	69015821	69015323	1
8	25699185	25700026	25699723	1
19	55623773	55624715	55624505	1
11	8336875	8337476	8337300	1
3	53840884	53841005	53840937	1
8	67054569	67055170	67055103	1
3	70291620	70292101	70291781	1
5	92586159	92586823	92586300	1
7	131889390	131889871	131889720	1
7	98423985	98424466	98424232	1
5	93230121	93231082	93231051	1
1	147211549	147212150	147211751	1
8	41528041	41528642	41528050	1
15	96855132	96855733	96855571	1
11	33966133	33966734	33966294	1
22	32455657	32455898	32455810	1
10	77463141	77463862	77463735	1
2	199626426	199627027	199626523	1
16	53241730	53242811	53242592	1
14	75703450	75704913	75703875	1
7	40566578	40567539	40567068	1
10	104046084	104046565	104046300	1
10	114907645	114908366	114908062	1
1	90966710	90967191	90966815	1
16	7646355	7646476	7646441	1
7	20832565	20833995	20833439	1
11	27625080	27625561	27625407	1
2	205785326	205786047	205785510	1
14	54571121	54571842	54571618	1
2	164866171	164866892	164866402	1
17	1391900	1392381	1392042	1
8	36930886	36931367	36931173	1
16	48912698	48914259	48913378	1
9	102636743	102637344	102636790	1
4	58221281	58221882	58221824	1
4	180056837	180057438	180056892	1
1	89013817	89014418	89013994	1
1	63665129	63666926	63665686	1
16	56227691	56228292	56227922	1
19	31752791	31753272	31752953	1
2	60106514	60107221	60107095	1
5	92615175	92615896	92615677	1
14	37504668	37505509	37504956	1
3	168923145	168923266	168923172	1
2	144158885	144159846	144159346	1
1	234635196	234635437	234635422	1
11	15797847	15798328	15797946	1
17	2136821	2137302	2137023	1
3	128014783	128015384	128015147	1
16	7759035	7759761	7759257	1
10	114988969	114989570	114989266	1
15	75336559	75337110	75336704	1
14	57429116	57429837	57429398	1
2	5549511	5553087	5552570	1
9	128674315	128674916	128674408	1
9	973340	975381	974449	1
2	63240489	63241570	63241502	1
7	40566578	40567539	40567070	1
9	14292746	14293347	14292789	1
1	234718032	234718513	234718085	1
2	164468645	164468765	164468764	1
10	104814026	104814274	104814269	1
9	17342262	17343203	17342564	1
10	78011638	78012479	78011920	1
7	69636340	69636941	69636630	1
3	70631771	70632012	70631880	1
9	76948467	76948948	76948789	1
21	16423831	16424432	16424112	1
8	106366328	106366809	106366434	1
4	184944130	184944731	184944231	1
14	29348186	29349147	29348215	1
8	100765752	100766353	100765943	1
7	2842647	2843248	2843153	1
18	45033208	45033809	45033258	1
18	3029073	3029674	3029536	1
12	56548550	56549409	56548627	1
4	54961915	54962876	54962530	1
2	165235625	165236106	165235803	1
2	164589794	164590275	164589960	1
7	18737815	18738416	18737904	1
12	6722262	6722863	6722750	1
6	35032920	35033521	35033109	1
18	35877619	35878220	35878085	1
9	14119118	14119239	14119125	1
2	180549572	180550293	180549850	1
2	238223234	238223835	238223382	1
5	88548329	88549627	88548879	1
18	38139264	38139865	38139754	1
17	46319407	46320128	46320126	1
18	54540805	54541286	54540939	1
2	165109032	165109753	165109637	1
16	53578165	53578766	53578487	1
18	53750394	53750875	53750796	1
4	178902703	178903304	178903066	1
15	75336559	75337110	75336759	1
15	37019631	37019992	37019783	1
10	112203240	112203589	112203264	1
14	34040563	34041164	34040920	1
9	84946803	84948124	84947945	1
1	75256819	75257660	75257109	1
1	203434625	203435226	203435025	1
18	22747589	22748550	22748504	1
5	61032335	61032696	61032478	1
17	27996347	27996908	27996508	1
7	115027074	115028143	115027526	1
11	16461512	16462353	16462105	1
3	181046130	181047136	181046984	1
20	42643856	42644457	42644439	1
16	25759727	25760328	25760021	1
8	136660017	136660738	136660347	1
13	111177847	111178448	111178029	1
17	59203726	59204207	59204065	1
7	26497904	26498505	26498365	1
22	19749284	19750125	19749317	1
8	67425270	67425391	67425279	1
8	100648216	100649297	100648647	1
13	72938886	72939607	72939207	1
3	38766393	38766959	38766934	1
21	40827103	40827704	40827154	1
6	85166267	85166868	85166627	1
5	93009809	93010410	93010326	1
X	24817458	24818179	24817594	1
1	10597395	10597996	10597738	1
1	44705503	44706137	44705893	1
2	199276289	199277130	199276816	1
12	16757750	16757870	16757763	1
9	126331336	126331817	126331668	1
16	80423809	80424530	80424500	1
7	27173258	27173739	27173285	1
5	77164924	77165405	77164929	1
18	25501288	25502129	25501500	1
7	25696381	25696742	25696625	1
18	64678658	64679259	64678768	1
7	115034040	115035001	115034299	1
5	171130205	171130326	171130300	1
1	232730862	232731103	232730944	1
2	177757476	177758317	177757750	1
8	134551306	134551667	134551666	1
2	129105461	129105582	129105565	1
20	22384533	22385014	22385006	1
11	130520408	130520649	130520478	1
1	230961625	230962226	230962042	1
19	55623773	55624715	55624486	1
15	85447278	85447518	85447288	1
2	119038574	119039175	119038633	1
8	77440540	77441141	77441006	1
2	145631839	145632320	145631903	1
13	60844245	60844846	60844608	1
18	60193391	60193752	60193705	1
10	121012186	121012667	121012495	1
22	24559820	24560569	24560152	1
2	145406724	145407205	145406868	1
17	48180417	48180538	48180511	1
9	84438420	84438950	84438926	1
9	16867694	16868415	16867849	1
14	33136428	33137029	33136802	1
5	151051044	151051314	151051224	1
3	137361001	137361722	137361550	1
9	37946289	37946410	37946387	1
7	39414278	39414759	39414333	1
4	111915672	111916946	111916097	1
2	39351147	39351508	39351453	1
10	114591261	114591742	114591349	1
8	25789874	25790595	25790265	1
19	8305165	8305732	8305524	1
10	87782760	87783001	87782895	1
2	85999185	86001082	85999418	1
16	25759727	25760328	25760102	1
7	96462993	96463714	96463008	1
11	8383732	8384213	8384119	1
14	57429116	57429837	57429313	1
1	11017605	11018036	11017704	1
7	39170541	39171022	39170916	1
7	114261006	114263178	114262512	1
9	82271193	82271794	82271427	1
2	174517939	174518540	174518011	1
12	16940613	16942414	16942297	1
6	50821680	50822281	50822136	1
11	116000107	116000708	116000612	1
12	16609963	16610084	16610057	1
10	103205156	103205877	103205635	1
7	26689099	26689580	26689201	1
16	52417025	52417506	52417412	1
12	59460073	59461687	59460403	1
8	106673882	106674363	106674040	1
2	144550098	144550699	144550117	1
5	131539430	131539869	131539651	1
4	124778732	124779641	124779370	1
1	64089101	64089461	64089182	1
10	82043582	82043852	82043643	1
8	122077958	122078199	122078040	1
14	28103568	28104169	28103676	1
18	56246012	56247812	56246643	1
18	22810755	22811236	22810870	1
5	170599136	170599702	170599318	1
18	42323212	42325093	42324796	1
3	94052123	94053924	94052415	1
8	141128641	141129242	141128772	1
1	181121637	181121878	181121830	1
X	25037355	25038034	25037676	1
8	102038494	102038855	102038790	1
8	93370839	93371320	93371037	1
14	23611999	23612549	23612229	1
15	74872633	74872754	74872655	1
2	18661105	18661706	18661635	1
17	54522888	54523550	54523165	1
3	191075729	191075969	191075730	1
10	114591261	114591742	114591688	1
20	1915745	1916106	1915995	1
8	140398504	140398625	140398593	1
11	122791249	122791850	122791448	1
1	44717871	44718472	44717941	1
14	76541750	76542231	76541898	1
2	60163155	60163516	60163185	1
10	130790527	130791008	130790677	1
5	158148230	158148951	158148660	1
11	114795717	114796198	114795786	1
2	33783220	33783460	33783448	1
11	12127147	12127748	12127744	1
17	17744219	17744580	17744283	1
15	36510317	36511158	36510690	1
1	81929991	81930472	81930450	1
6	16320494	16321095	16320821	1
15	97289812	97290413	97290016	1
13	114583990	114584591	114584277	1
4	23819636	23820357	23820101	1
8	64478115	64478716	64478183	1
6	133908617	133909218	133909167	1
14	29684798	29686839	29685895	1
1	203476250	203476851	203476770	1
2	177019342	177019823	177019729	1
22	27419076	27419677	27419449	1
14	57758589	57758710	57758599	1
2	171399385	171400137	171399559	1
2	220138804	220139405	220139158	1
1	202997880	202998361	202998142	1
16	27534937	27535418	27535340	1
8	25792757	25793238	25793205	1
1	10575117	10575598	10575133	1
7	132561407	132561888	132561753	1
8	33416090	33416330	33416225	1
8	37100441	37101042	37100905	1
X	147613536	147614017	147613841	1
X	139674469	139675430	139674700	1
18	25503906	25504267	25504029	1
13	35772483	35774524	35773184	1
2	200385778	200386499	200385805	1
14	33775447	33776048	33776038	1
3	114093297	114093898	114093507	1
14	28309423	28310024	28309854	1
14	26043912	26044513	26044340	1
X	25400258	25402419	25400480	1
7	115027074	115028143	115027410	1
6	50903637	50904358	50904076	1
6	100973845	100974326	100974091	1
11	118396871	118397592	118397392	1
8	93751734	93752335	93752008	1
10	44424588	44425095	44425022	1
5	106762883	106763243	106763106	1
8	41528041	41528642	41528466	1
7	27387073	27387674	27387120	1
22	31515515	31515756	31515684	1
9	36713720	36714321	36714304	1
2	157607132	157607253	157607139	1
1	44729716	44730317	44730274	1
13	37597229	37597470	37597302	1
18	56472265	56473401	56472638	1
11	68658770	68658890	68658886	1
9	84299122	84300203	84299353	1
2	59178927	59180355	59180053	1
4	184796480	184796841	184796560	1
7	69891327	69891928	69891439	1
2	240173711	240174312	240174041	1
7	27175404	27175885	27175500	1
16	52057024	52057625	52057028	1
7	40566578	40567539	40567519	1
16	73405706	73406307	73406169	1
17	59537965	59538566	59538221	1
2	235960128	235960489	235960162	1
10	71336662	71337383	71337373	1
7	25916833	25917434	25917187	1
8	2000114	2000473	2000251	1
15	36798953	36799794	36799768	1
8	30401955	30402195	30401983	1
1	63538156	63538877	63538725	1
2	60774640	60775121	60774734	1
16	73405706	73406307	73405891	1
2	199202240	199203201	199202999	1
6	92282485	92283086	92282933	1
5	93586843	93587392	93587300	1
2	58949042	58949763	58949076	1
5	91194609	91195210	91195053	1
20	41774380	41774981	41774851	1
13	36072946	36076067	36073036	1
10	118856056	118856417	118856230	1
2	60137848	60138785	60138176	1
3	4909423	4910024	4909426	1
2	174377815	174378536	174378202	1
18	53843290	53843891	53843419	1
16	51148121	51148722	51148361	1
15	68060405	68061246	68060716	1
3	62465540	62466021	62465843	1
7	51323204	51323805	51323423	1
1	98336150	98336871	98336632	1
2	196552237	196552838	196552428	1
4	23877567	23878168	23877637	1
9	124048464	124048705	124048493	1
11	112831920	112832419	112832050	1
1	12538086	12538687	12538488	1
5	3512054	3513495	3512974	1
10	94753179	94754260	94754162	1
13	72087535	72088376	72088332	1
X	39866779	39867380	39866888	1
5	77289620	77290341	77290114	1
9	16425043	16426004	16425575	1
14	76600494	76600975	76600514	1
13	43167721	43168202	43167885	1
3	194546225	194546586	194546528	1
2	59476498	59478059	59477262	1
17	59329123	59329964	59329782	1
8	77314796	77315637	77315048	1
4	80917845	80918446	80918206	1
3	63673151	63673992	63673466	2
13	66918948	66919669	66919250	2
1	215891465	215892066	215891675	2
13	79134171	79134772	79134279	2
12	16715236	16716437	16715283	2
7	18810028	18810629	18810577	2
14	29561543	29562264	29562000	2
16	27233822	27234423	27234242	2
19	5828473	5829074	5828680	2
9	81063943	81064664	81064466	2
4	145568913	145569754	145569518	2
2	164180972	164182053	164181401	2
3	185864402	185864883	185864799	2
1	51043569	51044050	51043652	2
22	38815153	38815634	38815341	2
6	98367709	98368310	98367931	2
18	38455274	38455875	38455309	2
21	17906619	17907220	17906869	2
11	32619537	32620018	32619883	2
X	25197907	25198508	25197949	2
16	7646683	7646924	7646894	2
10	115096375	115096976	115096711	2
11	45179197	45179798	45179423	2
4	8318469	8318590	8318500	2
9	116382281	116382642	116382415	2
10	72342998	72343239	72343189	2
5	145450130	145450731	145450293	2
8	17465476	17466077	17465565	2
9	128719308	128720149	128719971	2
2	45679955	45680316	45680163	2
2	43037829	43038400	43038346	2
11	9787573	9787934	9787878	2
5	92141430	92143636	92142715	2
14	30774513	30775114	30774852	2
9	134206323	134206684	134206499	2
5	93897914	93898515	93898425	2
11	31825666	31826027	31825962	2
16	53047483	53047964	53047824	2
2	199626426	199627027	199626952	2
12	59361677	59362038	59361932	2
14	94087143	94087504	94087491	2
16	52243097	52243698	52243196	2
7	69980779	69981260	69981027	2
18	30141564	30142165	30142089	2
12	81242005	81242125	81242079	2
18	34205280	34205846	34205697	2
19	50373125	50373575	50373286	2
2	207953093	207953363	207953328	2
3	147096639	147097240	147096932	2
2	63218840	63219321	63218901	2
13	72341441	72341922	72341486	2
7	115451807	115454128	115452861	2
3	71218295	71218776	71218459	2
1	10658627	10659478	10658918	2
14	33706494	33706975	33706717	2
5	92136084	92136565	92136438	2
19	32526632	32527285	32527139	2
14	34040563	34041164	34040872	2
7	16044276	16044997	16044762	2
16	54616373	54616854	54616565	2
13	73120965	73121566	73120998	2
5	10333373	10333974	10333712	2
6	19665424	19666385	19665693	2
15	95274626	95275211	95275202	2
16	78888927	78889408	78889389	2
1	98796674	98797275	98797125	2
18	53577370	53577731	53577635	2
2	67193335	67193696	67193602	2
8	133152283	133152433	133152384	2
7	21111473	21112194	21111715	2
17	38501822	38502423	38502001	2
2	175584600	175585563	175585501	2
15	35674009	35674129	35674099	2
8	76732649	76733490	76733265	2
2	145141906	145142627	145142060	2
4	23819636	23820357	23820331	2
5	93816874	93817715	93817277	2
2	238223234	238223835	238223722	2
1	218428307	218428908	218428757	2
3	17953060	17953901	17953525	2
3	49877158	49877308	49877273	2
21	35709578	35710179	35710072	2
10	115406643	115406793	115406779	2
15	93421603	93422084	93421927	2
2	175025264	175025865	175025586	2
4	151600287	151602336	151601394	2
1	201688900	201689501	201689417	2
5	77020842	77022283	77021703	2
5	91442842	91444163	91443989	2
3	137185881	137186002	137185888	2
18	53006112	53006593	53006541	2
13	71816160	71816761	71816417	2
4	81107696	81108297	81107845	2
10	78732899	78733515	78733307	2
4	186058479	186059080	186058989	2
21	17950894	17953775	17950905	2
10	76716781	76717742	76717575	2
15	67699791	67700392	67699854	2
11	15797847	15798328	15798091	2
9	116334752	116335233	116334898	2
10	77389193	77389914	77389688	2
5	60610203	60610924	60610758	2
12	3316487	3317088	3316985	2
2	183888528	183888648	183888551	2
10	77585078	77585679	77585575	2
3	71035875	71036356	71036320	2
10	120273940	120274661	120274452	2
3	194815454	194815695	194815466	2
6	159139060	159139300	159139274	2
2	144360908	144361389	144360949	2
2	60352396	60353717	60352750	2
8	124652195	124652316	124652288	2
8	92970381	92970742	92970710	2
11	72051009	72051610	72051347	2
18	72925666	72926147	72925850	2
13	79134171	79134772	79134192	2
15	95381481	95382082	95381884	2
2	217405148	217405269	217405204	2
1	88595567	88595928	88595648	2
9	116319886	116320247	116319896	2
10	80953417	80954018	80953717	2
1	88926685	88928582	88928464	2
7	27626342	27627063	27626584	2
2	177038530	177039371	177039149	2
18	46324662	46325143	46324664	2
21	15941919	15942640	15942325	2
3	157472132	157472853	157472693	2
10	77357338	77358179	77358160	2
20	21489057	21490138	21489800	2
9	16864412	16865373	16865360	2
13	35772156	35772277	35772227	2
16	72460878	72462319	72461814	2
12	54445737	54446338	54445800	2
7	114071003	114073226	114073155	2
8	74037069	74037670	74037382	2
16	72214243	72214724	72214371	2
12	49380373	49381094	49381022	2
13	71343517	71344958	71344077	2
5	172695042	172695643	172695633	2
3	18699783	18700384	18700025	2
15	37348042	37348763	37348282	2
1	213500701	213500822	213500801	2
6	18842946	18843547	18843085	2
2	177019342	177019823	177019769	2
14	33278219	33278758	33278367	2
15	96121486	96122087	96121876	2
6	50348349	50348590	50348550	2
17	2095049	2095410	2095350	2
9	132114996	132115357	132115276	2
10	11721925	11722766	11722367	2
10	119478689	119479287	119479285	2
2	144827626	144828227	144827690	2
2	175007103	175007584	175007416	2
5	151043601	151043921	151043778	2
1	95747536	95748217	95748113	2
2	161173997	161174739	161174219	2
2	156402911	156403032	156403018	2
1	97420612	97421453	97420669	2
7	114299388	114299737	114299704	2
6	1778052	1778653	1778422	2
1	88686004	88687805	88686219	2
1	216423324	216424462	216423529	2
6	45847226	45849245	45847275	2
6	152419863	152420103	152419951	2
17	37933841	37934081	37934013	2
16	52299310	52300031	52299774	2
12	92946435	92946796	92946540	2
7	20832565	20833995	20833194	2
15	67592880	67593481	67593314	2
5	175139038	175139399	175139178	2
14	77467095	77467696	77467514	2
20	25034686	25035167	25034874	2
2	146574133	146574614	146574480	2
1	83252462	83253063	83253029	2
3	42084501	42084742	42084685	2
13	71816160	71816761	71816627	2
X	124512516	124513117	124513066	2
5	51373821	51374662	51374166	2
7	114062766	114063487	114062903	2
1	167652693	167652814	167652812	2
10	13567591	13568239	13567948	2
5	141693766	141694726	141694471	2
9	8526575	8526695	8526578	2
14	33710573	33711294	33711145	2
11	72887762	72888123	72887992	2
10	120076388	120076989	120076525	2
2	218344157	218344758	218344511	2
3	119132646	119135166	119135018	2
19	5799824	5800065	5800033	2
2	176305999	176306600	176306244	2
2	143913021	143913261	143913077	2
20	52056229	52056830	52056424	2
10	126389358	126389959	126389439	2
X	123540132	123540372	123540254	2
1	180329939	180330300	180330089	2
8	94229638	94229999	94229923	2
5	92145179	92145887	92145308	2
18	54120617	54121218	54120726	2
14	26808365	26808966	26808582	2
21	40394270	40394833	40394637	2
18	38637003	38637724	38637315	2
3	114575253	114575854	114575489	2
11	16169773	16170374	16170071	2
5	77273871	77273992	77273948	2
13	79286966	79288007	79287721	2
7	115116499	115117052	115116541	2
12	123351608	123352208	123351978	2
10	115003873	115004594	115004367	2
8	77611907	77612268	77612206	2
18	19341763	19342004	19341933	2
10	78639088	78639689	78639640	2
20	20951415	20952136	20951808	2
18	31161917	31162638	31162332	2
4	113627680	113627921	113627905	2
13	53423249	53423970	53423641	2
7	26479102	26479703	26479676	2
X	147779658	147780259	147779994	2
15	97690913	97691274	97691011	2
5	22683094	22683575	22683403	2
3	181485844	181486445	181486083	2
2	218830247	218830728	218830565	2
15	36887691	36888292	36887851	2
1	87643119	87643720	87643496	2
4	81107696	81108297	81107859	2
8	93180978	93181819	93181453	2
10	120163343	120163944	120163553	2
15	92483394	92483995	92483906	2
10	114878537	114880045	114879489	2
15	37245105	37245706	37245388	2
20	6667641	6668242	6667834	2
5	91194609	91195210	91195196	2
5	92047718	92048079	92047907	2
1	38712486	38712967	38712683	2
19	39203508	39203869	39203628	2
3	48596666	48597197	48597062	2
8	78308268	78308869	78308345	2
15	60290357	60290958	60290820	2
3	62239545	62240026	62239916	2
15	68858839	68859320	68858967	2
2	146960634	146961355	146961155	2
16	3999240	3999481	3999403	2
14	33472262	33472863	33472527	2
9	81140844	81141445	81141135	2
6	51504738	51505339	51505260	2
11	117621707	117622308	117622094	2
17	59232931	59233532	59233100	2
10	97301785	97301906	97301904	2
3	45579119	45579720	45579268	2
19	31636610	31637211	31636626	2
2	68081304	68081905	68081774	2
2	217419472	217419833	217419491	2
2	59144708	59145549	59145084	2
1	213572823	213573184	213572969	2
16	78710387	78710868	78710623	2
9	79352335	79352816	79352361	2
2	199503139	199503620	199503150	2
10	93367841	93368202	93367899	2
1	216990745	216991346	216990987	2
5	93588743	93589344	93589175	2
2	67052145	67052986	67052970	2
9	126623568	126624353	126624286	2
14	65539411	65539772	65539565	2
1	33804311	33804912	33804860	2
15	95984272	95984753	95984369	2
6	116033674	116034155	116033738	2
5	77506764	77507365	77507328	2
1	88538363	88538484	88538365	2
2	165109032	165109753	165109322	2
9	89558239	89558840	89558448	2
18	22953193	22953794	22953537	2
8	119688488	119689085	119688911	2
7	115116499	115117052	115116554	2
8	76732649	76733490	76732962	2
1	38736501	38736862	38736601	2
X	28600652	28600773	28600682	2
8	67425270	67425391	67425353	2
1	90601135	90601737	90601645	2
1	214281092	214281453	214281210	2
3	70293641	70294362	70294345	2
1	243585401	243586002	243585867	2
2	59108101	59108582	59108362	2
X	122406381	122406982	122406728	2
10	87783246	87783367	87783308	2
4	54061514	54065344	54062974	2
2	143916776	143917737	143917651	2
4	141073973	141075264	141074451	2
2	85998565	85998806	85998622	2
4	150410351	150410832	150410552	2
3	42076862	42077103	42076912	2
13	71825582	71826183	71825721	2
15	67055044	67055645	67055317	2
17	73389610	73389730	73389639	2
7	44678448	44679049	44678610	2
4	85328815	85329416	85329186	2
9	82224889	82225509	82225057	2
13	78974524	78975125	78974939	2
15	92483394	92483995	92483451	2
X	76705543	76706144	76705878	2
5	81318845	81320166	81320051	2
X	136353421	136354022	136353618	2
9	25379325	25379926	25379795	2
11	8227251	8227372	8227322	2
14	36843672	36844273	36844039	2
14	33418326	33418807	33418727	2
18	20036499	20036980	20036694	2
11	16878047	16878648	16878133	2
9	100638595	100638836	100638747	2
1	214003107	214003708	214003315	2
7	1282780	1283261	1283017	2
15	70725362	70725843	70725688	2
5	91298107	91299068	91298289	2
2	60147719	60148200	60147873	2
3	62430268	62430851	62430714	2
2	162956161	162956882	162956836	2
6	137896741	137897462	137896898	2
18	22447885	22448006	22447915	2
6	38358705	38360146	38359992	2
2	164800670	164801271	164800744	2
5	175969439	175969680	175969552	2
9	128618502	128619223	128618912	2
1	147211549	147212150	147211709	2
9	128735351	128735952	128735468	2
2	63261527	63263136	63262402	2
2	199522999	199523480	199523088	2
10	77221646	77222487	77222013	2
2	145190596	145191317	145190978	2
14	73279370	73279971	73279951	2
15	68975644	68976245	68975680	2
17	35061494	35061855	35061804	2
2	60055916	60056757	60056351	2
9	108908427	108908908	108908695	2
10	102533109	102533744	102533626	2
7	39414278	39414759	39414441	2
6	94158554	94159155	94158807	2
17	35166565	35167046	35166605	2
3	114170221	114170822	114170790	2
12	699364	699725	699409	2
15	95436042	95436763	95436659	2
1	97958226	97958827	97958798	2
7	21081125	21081726	21081426	2
7	115361611	115361972	115361704	2
17	2081882	2084403	2082823	2
17	36608947	36609548	36609414	2
10	102567602	102568443	102568237	2
5	124708256	124710046	124708942	2
2	156991381	156992102	156991849	2
13	72405821	72406422	72405864	2
2	145269374	145269975	145269963	2
15	44166041	44166671	44166603	2
5	93637934	93638583	93637999	2
6	133363640	133364121	133363833	2
2	44914631	44915352	44914790	2
9	116968493	116969228	116969171	2
17	27376538	27377139	27376745	2
3	168913338	168913819	168913388	2
3	55524784	55526307	55525462	2
1	88649788	88650269	88649962	2
5	88166737	88167386	88167162	2
11	82334252	82334853	82334822	2
11	125252284	125252765	125252737	2
2	200716536	200716777	200716662	2
21	16779395	16779996	16779533	2
10	50413565	50414286	50414227	2
10	104040287	104040768	104040673	2
3	71441531	71442206	71441653	2
5	89600735	89601456	89600772	2
2	156589448	156590409	156589931	2
9	38018898	38019499	38019153	2
1	88150607	88151088	88150673	2
8	65500516	65500997	65500536	2
14	26225458	26226059	26225832	2
16	6254791	6255512	6254794	2
7	96643153	96643946	96643396	2
11	75265900	75266501	75265991	2
2	161173997	161174739	161174481	2
4	54881117	54882558	54881554	2
6	11211111	11211472	11211452	2
18	37043587	37044308	37043765	2
13	72341441	72341922	72341496	2
14	29821281	29822002	29821397	2
13	72217507	72217988	72217542	2
16	54493564	54494405	54494375	2
14	102344639	102344880	102344685	2
13	100514025	100514506	100514309	2
4	184796480	184796841	184796647	2
5	125234553	125235154	125234890	2
11	8227733	8229414	8229307	2
2	66091751	66092472	66092458	2
8	78043941	78044302	78044237	2
16	51671105	51671946	51671857	2
16	55002706	55003307	55002902	2
8	93619600	93620081	93619740	2
3	168985935	168986656	168985940	2
6	79714003	79714484	79714249	2
2	161560106	161560827	161560437	2
10	114591261	114591742	114591733	2
18	36024517	36025358	36024949	2
4	187621391	187621752	187621638	2
5	123535670	123536271	123536026	2
11	117621707	117622308	117621715	2
3	70632221	70633061	70632718	2
16	72980816	72980937	72980930	2
14	57281508	57282099	57281932	2
3	147093748	147094349	147093982	2
14	77518774	77519189	77519077	2
X	133122125	133122486	133122271	2
4	79944873	79945474	79945413	2
2	221091985	221092706	221092396	2
22	43288585	43288826	43288679	2
5	170627881	170629802	170628707	2
14	54038221	54039259	54038690	2
7	114687229	114687950	114687760	2
3	138946869	138947470	138946977	2
17	45353599	45354200	45354176	2
2	59895083	59895924	59895419	2
19	31806425	31807026	31806604	2
14	35940826	35941427	35940828	2
17	80525853	80526123	80525965	2
7	47127698	47128299	47128099	2
15	36263166	36263647	36263316	2
12	66068856	66069337	66069266	2
